"Class[Size] ->","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]"
"2014M04",6.63531031e+01,1.90542174e-01,3.27000000e+00,3.14107772e+00,7.75000000e+00,4.75000000e+00,4.12995000e+04,2.52815000e+04,6.15508000e+04,1.39200400e+05,9.52272000e+04,1.04798961e+02,4.90700000e+02,1.10400000e+02,9.00000000e-02,2.37072000e+02,2.36468000e+02,9.69870000e+01,9.54130000e+01,1.02069048e+02,4.19499053e+02,2.04769284e+02,1.06286057e+03,1.01378282e+03,1.10276181e+03,1.18436699e+03,1.14640209e+03,4.65204385e+02,6.19583294e+02,4.70394288e+02,5.46836389e+02,5.46581289e+02,4.57457695e+02,4.55821484e+02,4.62564952e+02,3.21503315e+00,-6.43089033e-01,3.45367281e+00,3.49776068e+00,5.24014229e+00,8.43125742e+00,8.78422716e+00,3.49404410e+00,8.39222429e+00,3.37141629e+00,1.80467290e+00,1.99509036e+00,1.65927145e+00,1.55904927e+00,1.03628758e+01,2.28433048e+00,3.10077692e+00,3.33207444e+01,2.04360683e+01,8.62087010e+00,1.30604336e+01,1.33330340e+01,-2.23055144e+01,7.96165177e+01,5.99320201e+00,2.26473952e+00,2.23494020e+00,2.13000954e+00,2.05178821e+00,1.49680487e+01,4.64697274e+02,4.63888145e+02,8.09129417e-01,4.70366930e+02,2.73581626e-02,4.63496847e+02,1.20042748e+00,4.69610299e+02,7.83988830e-01
"2014M05",6.65022370e+01,2.24757959e-01,3.22000000e+00,3.04449649e+00,7.73000000e+00,4.75000000e+00,4.06910000e+04,2.48797000e+04,6.13769000e+04,1.38758800e+05,9.52396000e+04,1.04394266e+02,4.94100000e+02,1.10590000e+02,8.00000000e-02,2.37529000e+02,2.36918000e+02,9.71470000e+01,9.55740000e+01,1.02177143e+02,4.19723559e+02,2.04510886e+02,1.06137622e+03,1.01218075e+03,1.10247888e+03,1.18404925e+03,1.14641511e+03,4.64817475e+02,6.20273793e+02,4.70594713e+02,5.47028972e+02,5.46771409e+02,4.57622530e+02,4.55990082e+02,4.62670800e+02,3.17208756e+00,-7.73199728e-01,3.58848075e+00,4.38751534e+00,4.94437180e+00,7.33814631e+00,8.40452817e+00,4.79699939e+00,3.52214350e+00,3.26270727e+00,1.92684352e+00,2.14380313e+00,1.75075081e+00,1.61061592e+00,7.80071626e+00,2.69406907e+00,-3.10077692e+00,-1.78121467e+01,-1.92248316e+01,-3.39516869e+00,-3.81293690e+00,1.56247703e-01,-4.64292285e+00,8.28597931e+00,2.06344229e+00,2.31099458e+00,2.28143698e+00,1.97801563e+00,2.02317483e+00,1.27017666e+00,4.65088218e+02,4.64210740e+02,8.77477481e-01,4.70655878e+02,-6.11645513e-02,4.63527441e+02,1.56077722e+00,4.69830330e+02,7.64383084e-01
"2014M06",6.68578639e+01,5.34759349e-01,3.13000000e+00,2.93142089e+00,7.80000000e+00,4.75000000e+00,4.02002000e+04,2.50788000e+04,6.16449000e+04,1.39905500e+05,9.55359000e+04,1.01049255e+02,4.81900000e+02,1.11030000e+02,9.00000000e-02,2.37837000e+02,2.37231000e+02,9.72530000e+01,9.56820000e+01,1.05794286e+02,4.20256893e+02,2.05412373e+02,1.06016272e+03,1.01297781e+03,1.10291458e+03,1.18487225e+03,1.14672574e+03,4.61560808e+02,6.17773662e+02,4.70987171e+02,5.47158557e+02,5.46903435e+02,4.57731583e+02,4.56103019e+02,4.66149651e+02,3.08413676e+00,-2.56082086e-01,1.68576295e+00,3.95911344e+00,5.42818245e+00,7.81167741e+00,8.24073534e+00,4.38196704e+00,1.44170901e+01,3.42649864e+00,1.90460927e+00,2.03807121e+00,1.63797034e+00,1.55144746e+00,9.95209202e+00,6.40001506e+00,1.08178453e+01,-1.45619604e+01,9.56478937e+00,5.22834991e+00,9.87602479e+00,3.72752566e+00,-3.90800105e+01,-3.00015626e+01,4.76491917e+00,1.55501257e+00,1.58431233e+00,1.30864211e+00,1.35525174e+00,4.17462066e+01,4.64483893e+02,4.64532345e+02,-4.84526329e-02,4.70944877e+02,4.22937700e-02,4.63798665e+02,6.85227057e-01,4.70052952e+02,9.34219200e-01
"2014M07",6.72421705e+01,5.74811260e-01,3.41000000e+00,2.98534144e+00,7.77000000e+00,4.50000000e+00,4.15141000e+04,2.59732000e+04,6.16580000e+04,1.41225200e+05,9.53775000e+04,1.03779132e+02,5.09700000e+02,1.11270000e+02,8.00000000e-02,2.38195000e+02,2.37498000e+02,9.73910000e+01,9.58480000e+01,1.03588636e+02,4.20830059e+02,2.05027016e+02,1.06337884e+03,1.01648205e+03,1.10293583e+03,1.18581111e+03,1.14655980e+03,4.64226491e+02,6.23382232e+02,4.71193494e+02,5.47308967e+02,5.47015920e+02,4.57873380e+02,4.56276360e+02,4.64042764e+02,3.35692217e+00,-6.41439018e-01,3.61042253e+00,7.24703463e+00,6.06532073e+00,8.18295133e+00,7.82867603e+00,5.07428701e+00,1.33951896e+01,3.34461000e+00,1.82815026e+00,1.95500255e+00,1.65546297e+00,1.59749318e+00,-1.03935927e+00,6.87798628e+00,-4.62428318e+00,3.85933894e+01,4.20508433e+01,2.54981838e-01,1.12663016e+01,-1.99126980e+00,3.19882030e+01,6.73028324e+01,2.59109412e+00,1.80492102e+00,1.34982288e+00,1.70156828e+00,2.08009241e+00,-2.52826452e+01,4.65358871e+02,4.64852765e+02,5.06106094e-01,4.71233815e+02,-4.03206667e-02,4.64166383e+02,1.19248803e+00,4.70415952e+02,7.77542664e-01
"2014M08",6.75232305e+01,4.17981749e-01,3.70000000e+00,3.14397999e+00,7.81000000e+00,4.50000000e+00,4.14858000e+04,2.53806000e+04,6.20789000e+04,1.42378800e+05,9.61092000e+04,1.02197971e+02,4.76800000e+02,1.11590000e+02,7.00000000e-02,2.38405000e+02,2.37460000e+02,9.73790000e+01,9.58850000e+01,9.65361905e+01,4.21247169e+02,2.05540496e+02,1.06331065e+03,1.01417404e+03,1.10361614e+03,1.18662464e+03,1.14732403e+03,4.62691182e+02,6.16709712e+02,4.71503287e+02,5.47397091e+02,5.46999919e+02,4.57861058e+02,4.56314956e+02,4.56991797e+02,3.63298906e+00,-1.01911710e+00,4.50383346e+00,7.29375630e+00,5.66685502e+00,8.02016274e+00,7.14173841e+00,3.51148144e+00,4.39466278e+00,3.34412283e+00,1.72149252e+00,1.70055657e+00,1.49501266e+00,1.52801477e+00,-9.89096686e+00,5.00532758e+00,6.16175937e+00,-8.18314271e-01,-2.76961614e+01,8.16380478e+00,9.76239852e+00,9.17081211e+00,-1.84237064e+01,-8.00702419e+01,3.44611203e+00,1.05749063e+00,-1.92016979e-01,-1.47866715e-01,4.63144065e-01,-8.46116012e+01,4.64611841e+02,4.65171802e+02,-5.59961571e-01,4.71522582e+02,-1.92943409e-02,4.63876808e+02,7.35032347e-01,4.70656798e+02,8.46489662e-01
"2014M09",6.75576460e+01,5.09684000e-02,3.45000000e+00,3.20249777e+00,7.72000000e+00,4.50000000e+00,4.12657000e+04,2.51433000e+04,6.11235000e+04,1.42429500e+05,9.66228000e+04,1.01766836e+02,4.58800000e+02,1.11990000e+02,7.00000000e-02,2.38786000e+02,2.37477000e+02,9.74130000e+01,9.60130000e+01,9.32119048e+01,4.21298125e+02,2.04381436e+02,1.06277869e+03,1.01323467e+03,1.10206517e+03,1.18666024e+03,1.14785700e+03,4.62268427e+02,6.12861439e+02,4.71854299e+02,5.47556775e+02,5.47007078e+02,4.57895967e+02,4.56448360e+02,4.53487545e+02,3.39366850e+00,-2.80989112e+00,7.33762109e+00,6.49774355e+00,6.10418970e+00,7.94722957e+00,6.85813408e+00,4.06041910e+00,8.66943947e+00,3.48904292e+00,1.72596505e+00,1.67002805e+00,1.48615118e+00,1.54288415e+00,-1.31291056e+01,6.11464983e-01,-1.39087198e+01,-6.38346430e+00,-1.12723718e+01,-1.86116988e+01,4.27234745e-01,6.39563185e+00,-5.07305921e+00,-4.61792766e+01,4.29376968e+00,1.91621425e+00,8.59061307e-02,4.18908378e-01,1.60085069e+00,-4.20510263e+01,4.65294457e+02,4.65489294e+02,-1.94836937e-01,4.71811065e+02,4.32334866e-02,4.64763222e+02,5.31234495e-01,4.70925015e+02,9.29283689e-01
"2014M10",6.76608925e+01,1.52827305e-01,3.64000000e+00,3.23958704e+00,7.65000000e+00,4.50000000e+00,4.04723000e+04,2.58380000e+04,6.17344000e+04,1.42466300e+05,9.76206000e+04,1.03886495e+02,5.00500000e+02,1.12370000e+02,7.00000000e-02,2.39191000e+02,2.37430000e+02,9.73840000e+01,9.60960000e+01,8.43969565e+01,4.21450835e+02,2.03470565e+02,1.06083731e+03,1.01596016e+03,1.10305966e+03,1.18668608e+03,1.14888438e+03,4.64329891e+02,6.21560760e+02,4.72189525e+02,5.47726240e+02,5.46987284e+02,4.57866193e+02,4.56534769e+02,4.43553134e+02,3.57273309e+00,-3.97233520e+00,2.84185335e-02,6.66968463e+00,7.13607584e+00,7.67544171e+00,6.72148960e+00,4.33470119e+00,4.18214949e+00,3.59689089e+00,1.80131085e+00,1.59672591e+00,1.32413931e+00,1.46020131e+00,-1.75007020e+01,1.83252772e+00,-1.09304594e+01,-2.32966283e+01,3.27057805e+01,1.19338853e+01,3.10008082e-01,1.23285582e+01,2.47375630e+01,1.04391856e+02,4.06489959e+00,2.03357114e+00,-2.37520189e-01,-3.57295033e-01,1.03691140e+00,-1.19212927e+02,4.65821045e+02,4.65805039e+02,1.60069134e-02,4.72099151e+02,9.03737567e-02,4.65347077e+02,4.73968679e-01,4.71063782e+02,1.12574255e+00
"2014M11",6.77928186e+01,1.94981348e-01,3.38000000e+00,3.14772123e+00,7.62000000e+00,4.50000000e+00,4.21335000e+04,2.59025000e+04,6.27910000e+04,1.43913600e+05,9.86498000e+04,1.07092416e+02,3.98300000e+02,1.12620000e+02,8.00000000e-02,2.39458000e+02,2.36983000e+02,9.72910000e+01,9.61810000e+01,7.57894737e+01,4.21645627e+02,2.03077637e+02,1.06485984e+03,1.01620948e+03,1.10475670e+03,1.18769684e+03,1.14993315e+03,4.67369217e+02,5.98720549e+02,4.72399516e+02,5.47837804e+02,5.46798841e+02,4.57770649e+02,4.56623183e+02,4.32795941e+02,3.32044954e+00,-3.60863898e+00,6.38060392e+00,8.07832578e+00,6.22048181e+00,7.68157145e+00,6.37828667e+00,4.71537636e+00,5.60218740e+00,3.44160779e+00,1.72660281e+00,1.22400341e+00,1.07990736e+00,1.38297125e+00,-2.13887513e+01,2.33749807e+00,-4.71513377e+00,4.82704311e+01,2.99185513e+00,2.03645269e+01,1.21291668e+01,1.25852021e+01,3.64719078e+01,-2.74082530e+02,2.66678629e+00,1.33876821e+00,-2.26132150e+00,-1.14652635e+00,1.06096940e+00,-1.29086313e+02,4.66312712e+02,4.66118821e+02,1.93891034e-01,4.72386729e+02,1.27873122e-02,4.65258814e+02,1.05389851e+00,4.71391664e+02,1.00785210e+00
"2014M12",6.77182517e+01,-1.09992388e-01,2.95000000e+00,3.18725100e+00,7.62000000e+00,4.00000000e+00,4.68024000e+04,2.91644000e+04,6.75305000e+04,1.49911300e+05,9.90414000e+04,1.12276207e+02,4.96000000e+02,1.13060000e+02,6.00000000e-02,2.39584000e+02,2.36252000e+02,9.71200000e+01,9.62490000e+01,5.92904545e+01,4.21535574e+02,2.03077637e+02,1.07536898e+03,1.02807041e+03,1.11203346e+03,1.19177991e+03,1.15032932e+03,4.72096197e+02,6.20657593e+02,4.72755025e+02,5.47890409e+02,5.46489903e+02,4.57594733e+02,4.56693858e+02,4.08244832e+02,2.90473288e+00,-3.10102367e+00,8.33423141e+00,7.22976029e+00,6.89606115e+00,8.65784268e+00,5.69521043e+00,5.47356976e+00,1.03346416e+01,3.59287733e+00,1.60939892e+00,6.50997796e-01,7.29590802e-01,1.34723025e+00,-4.98687723e+01,-1.32063509e+00,0.00000000e+00,1.26109602e+02,1.42331158e+02,8.73211159e+01,4.89967996e+01,4.75408733e+00,5.67237700e+01,2.63244524e+02,4.67919770e+00,6.31259904e-01,-3.70725199e+00,-2.11099221e+00,8.48100643e-01,-2.94613307e+02,4.66678833e+02,4.66430428e+02,2.48404379e-01,4.72673693e+02,8.13313915e-02,4.66521278e+02,1.57555091e-01,4.71870487e+02,8.84537809e-01
"2015M01",6.74773431e+01,-3.55751314e-01,2.32000000e+00,3.16114790e+00,7.64000000e+00,4.00000000e+00,4.42496000e+04,2.72315000e+04,6.74619000e+04,1.50730900e+05,9.91602000e+04,1.07764597e+02,4.07400000e+02,1.13290000e+02,6.00000000e-02,2.39811000e+02,2.34747000e+02,9.66540000e+01,9.62140000e+01,4.72190000e+01,4.21179188e+02,2.03339760e+02,1.06976016e+03,1.02121297e+03,1.11193183e+03,1.19232514e+03,1.15044920e+03,4.67994919e+02,6.00979550e+02,4.72942684e+02,5.47985111e+02,5.45850834e+02,4.57113759e+02,4.56657488e+02,3.85479635e+02,2.29578889e+00,-2.71159286e+00,1.42971863e+01,9.30550450e+00,9.46158066e+00,9.76598358e+00,6.17615605e+00,4.76731445e+00,3.29371091e+00,3.53971558e+00,1.61845760e+00,-2.30195725e-01,4.13932990e-02,1.20245282e+00,-6.95042320e+01,-4.27662736e+00,3.14548018e+00,-6.73057822e+01,-8.22892751e+01,-1.21962432e+00,6.54281027e+00,1.43853548e+00,-4.92153395e+01,-2.36136508e+02,2.43870197e+00,1.13643246e+00,-7.66883219e+00,-5.77168328e+00,-4.36447530e-01,-2.73182364e+02,4.67516544e+02,4.66739659e+02,7.76884791e-01,4.72959942e+02,-1.72574279e-02,4.67088150e+02,4.28394062e-01,4.72106557e+02,8.36127483e-01
"2015M02",6.76895721e+01,3.14518874e-01,2.44000000e+00,3.20563628e+00,7.65000000e+00,4.00000000e+00,4.30647000e+04,2.71153000e+04,6.80105000e+04,1.51614900e+05,9.99943000e+04,1.07154327e+02,4.32000000e+02,1.13690000e+02,6.00000000e-02,2.40172000e+02,2.35342000e+02,9.68250000e+01,9.63240000e+01,5.05842105e+01,4.21493214e+02,2.03470565e+02,1.06704589e+03,1.02078534e+03,1.11274174e+03,1.19290990e+03,1.15128685e+03,4.67427011e+02,6.06842559e+02,4.73327230e+02,5.48135533e+02,5.46103978e+02,4.57290523e+02,4.56771751e+02,3.92363948e+02,2.40996184e+00,-1.42766864e+00,9.81194359e+00,9.58325306e+00,1.16764227e+01,1.03968409e+01,6.66598904e+00,4.36918089e+00,1.18043486e+01,3.74595769e+00,1.67399371e+00,-8.70693573e-02,1.70555898e-01,1.26939066e+00,-6.89671164e+01,3.76830358e+00,1.56965359e+00,-3.25712350e+01,-5.13149670e+00,9.71893313e+00,7.01715071e+00,1.00517523e+01,-6.81490223e+00,7.03561013e+01,4.22945191e+00,1.80506427e+00,3.03772427e+00,2.12116099e+00,1.37115805e+00,8.26117545e+01,4.67624176e+02,4.67046330e+02,5.77845490e-01,4.73245376e+02,8.18539949e-02,4.66877923e+02,7.46252134e-01,4.72509107e+02,8.18123403e-01
"2015M03",6.78329701e+01,2.11846457e-01,2.43000000e+00,3.12061711e+00,7.63000000e+00,3.50000000e+00,4.73002000e+04,2.90559000e+04,6.92770000e+04,1.54069000e+05,1.00369200e+05,1.11733028e+02,5.56500000e+02,1.13970000e+02,6.00000000e-02,2.40755000e+02,2.35976000e+02,9.70080000e+01,9.64700000e+01,4.78236364e+01,4.21704836e+02,2.03208785e+02,1.07642698e+03,1.02769768e+03,1.11458682e+03,1.19451558e+03,1.15166107e+03,4.71611235e+02,6.32166717e+02,4.73599129e+02,5.48377982e+02,5.46373010e+02,4.57479345e+02,4.56923208e+02,3.86752000e+02,2.39614408e+00,-1.30210173e+00,1.63431417e+01,1.56178715e+01,1.25434169e+01,1.12369627e+01,6.37006337e+00,4.54805648e+00,1.92181326e+01,3.68194570e+00,1.73032094e+00,-2.20337117e-02,1.99150837e-01,1.27270652e+00,-7.45656146e+01,2.53946854e+00,-3.14136305e+00,1.12573065e+02,8.29480999e+01,2.21410269e+01,1.92681608e+01,4.49064351e+00,5.02106889e+01,3.03889899e+02,2.95177167e+00,2.90938268e+00,3.22839552e+00,2.26586871e+00,1.81748429e+00,-6.73433771e+01,4.68246286e+02,4.67350313e+02,8.95973876e-01,4.73529896e+02,6.92329719e-02,4.67652522e+02,5.93764791e-01,4.72686168e+02,9.12960746e-01
"2015M04",6.80624068e+01,3.38237777e-01,2.58000000e+00,3.15043318e+00,7.69000000e+00,3.50000000e+00,4.62071000e+04,2.81684000e+04,6.89498000e+04,1.54524600e+05,1.00718300e+05,1.07655383e+02,5.03800000e+02,1.14300000e+02,8.00000000e-02,2.41346000e+02,2.36222000e+02,9.70940000e+01,9.66480000e+01,5.44528571e+01,4.22042503e+02,2.03992078e+02,1.07408887e+03,1.02459561e+03,1.11411340e+03,1.19481086e+03,1.15200828e+03,4.67893523e+02,6.22217936e+02,4.73885087e+02,5.48623159e+02,5.46477204e+02,4.57567958e+02,4.57107551e+02,3.99733532e+02,2.54345024e+00,-7.77205985e-01,1.12283073e+01,1.08127879e+01,1.13515853e+01,1.04438686e+01,5.60618958e+00,2.68913770e+00,2.63464208e+00,3.47164370e+00,1.78676961e+00,-1.04085139e-01,1.10263252e-01,1.28606747e+00,-6.28314201e+01,4.05200448e+00,9.39952587e+00,-2.80572695e+01,-3.72249342e+01,-5.68110863e+00,3.54330354e+00,4.16654860e+00,-4.46125396e+01,-1.19385368e+02,3.46957792e+00,2.94212356e+00,1.25032307e+00,1.06335851e+00,2.21211964e+00,1.55778383e+02,4.67459209e+02,4.67651517e+02,-1.92308007e-01,4.73813409e+02,7.16779186e-02,4.67530690e+02,-7.14812416e-02,4.73017508e+02,8.67579501e-01
"2015M05",6.82000688e+01,2.02258554e-01,2.55000000e+00,3.19930070e+00,7.69000000e+00,3.50000000e+00,4.59718000e+04,3.00810000e+04,7.05467000e+04,1.55773400e+05,1.02050700e+05,1.06670536e+02,5.19000000e+02,1.14540000e+02,8.00000000e-02,2.41688000e+02,2.37001000e+02,9.73270000e+01,9.67660000e+01,5.92650000e+01,4.22244557e+02,2.03992078e+02,1.07357834e+03,1.03116490e+03,1.11640302e+03,1.19561577e+03,1.15332250e+03,4.66974498e+02,6.25190388e+02,4.74140596e+02,5.48764764e+02,5.46806436e+02,4.57807644e+02,4.57229569e+02,4.08201891e+02,2.52099877e+00,-5.18807908e-01,1.22021227e+01,1.89841533e+01,1.39241359e+01,1.15665213e+01,6.90739269e+00,2.15702300e+00,4.91659573e+00,3.50944379e+00,1.73579169e+00,3.50270830e-02,1.85114773e-01,1.23948764e+00,-5.44689090e+01,2.42465144e+00,0.00000000e+00,-6.12636109e+00,7.88315531e+01,2.74754379e+01,9.65889623e+00,1.57706850e+01,-1.10282994e+01,3.56694231e+01,2.51704340e+00,1.69925955e+00,3.95078364e+00,2.87623388e+00,1.46421684e+00,1.01620310e+02,4.67179219e+02,4.67949917e+02,-7.70697855e-01,4.74095827e+02,4.47689128e-02,4.67573551e+02,-3.94331921e-01,4.73352324e+02,7.88271821e-01
"2015M06",6.84524492e+01,3.70058879e-01,2.39000000e+00,3.24856297e+00,7.65000000e+00,3.50000000e+00,4.85997000e+04,2.97685000e+04,7.04104000e+04,1.56638100e+05,1.02912800e+05,1.05618133e+02,5.36300000e+02,1.14950000e+02,8.00000000e-02,2.42064000e+02,2.37657000e+02,9.75160000e+01,9.68820000e+01,5.98195454e+01,4.22613933e+02,2.03470565e+02,1.07913726e+03,1.03012061e+03,1.11620963e+03,1.19616933e+03,1.15416373e+03,4.65983007e+02,6.28469371e+02,4.74502188e+02,5.48920215e+02,5.47082846e+02,4.58001647e+02,4.57349374e+02,4.09133245e+02,2.35704003e+00,-1.94180859e+00,1.89745387e+01,1.71427920e+01,1.32950478e+01,1.12970854e+01,7.43799346e+00,4.42219916e+00,1.06957082e+01,3.46968161e+00,1.76165889e+00,1.79410772e-01,2.70063675e-01,1.24635501e+00,-5.70164053e+01,4.43251015e+00,-6.25816281e+00,6.67070316e+01,-1.25315469e+01,-2.32070681e+00,6.64279420e+00,1.00947349e+01,-1.18978965e+01,3.93477874e+01,4.28777309e+00,1.86541902e+00,3.31691661e+00,2.32802894e+00,1.43766026e+00,1.11762504e+01,4.68915673e+02,4.68245472e+02,6.70201557e-01,4.74377064e+02,1.25123597e-01,4.68220501e+02,6.95172448e-01,4.73711693e+02,7.90494741e-01
"2015M07",6.88023403e+01,5.11144618e-01,2.32000000e+00,3.29803853e+00,7.65000000e+00,3.25000000e+00,4.61201000e+04,2.97379000e+04,7.13296000e+04,1.58706400e+05,1.03661500e+05,1.08701875e+02,5.73700000e+02,1.15280000e+02,8.00000000e-02,2.42565000e+02,2.38034000e+02,9.76050000e+01,9.69780000e+01,5.09009091e+01,4.23123776e+02,2.03470565e+02,1.07390041e+03,1.03001776e+03,1.11750667e+03,1.19748112e+03,1.15488861e+03,4.68860904e+02,6.35210661e+02,4.74750181e+02,5.49126972e+02,5.47241352e+02,4.58092872e+02,4.57448415e+02,3.92988078e+02,2.29371722e+00,-1.55645165e+00,1.05215735e+01,1.35357089e+01,1.45708403e+01,1.16700175e+01,8.32880815e+00,4.63441277e+00,1.18284294e+01,3.54042715e+00,1.81800498e+00,2.25431822e-01,2.19491770e-01,1.17205453e+00,-7.10546853e+01,6.11811250e+00,0.00000000e+00,-6.28421933e+01,-1.23415307e+00,1.55644908e+01,1.57414865e+01,8.69850639e+00,3.45347663e+01,8.08954867e+01,3.44004058e+00,2.48107403e+00,1.90207548e+00,1.09470541e+00,1.18848663e+00,-1.93742005e+02,4.69883596e+02,4.68538088e+02,1.34550839e+00,4.74657041e+02,9.31394869e-02,4.68315286e+02,1.56831025e+00,4.73926859e+02,8.23321980e-01
"2015M08",6.88482276e+01,6.66944610e-02,1.96000000e+00,3.23865604e+00,7.64664390e+00,3.25000000e+00,4.71034000e+04,2.91620000e+04,6.96971000e+04,1.57815800e+05,1.04161200e+05,1.07522379e+02,5.27300000e+02,1.15560000e+02,8.00000000e-02,2.42817000e+02,2.38033000e+02,9.76120000e+01,9.70560000e+01,4.28676191e+01,4.23190448e+02,2.03426685e+02,1.07601005e+03,1.02806218e+03,1.11519140e+03,1.19691838e+03,1.15536950e+03,4.67769900e+02,6.26776965e+02,4.75016590e+02,5.49230807e+02,5.47240932e+02,4.58100044e+02,4.57528813e+02,3.75811674e+02,1.94327881e+00,-2.11381182e+00,1.26993985e+01,1.38881389e+01,1.15752553e+01,1.02937419e+01,8.04546541e+00,5.07871793e+00,1.00672531e+01,3.49584354e+00,1.83371651e+00,2.41013128e-01,2.38985503e-01,1.21385748e+00,-8.11801229e+01,8.00066762e-01,-5.26562570e-01,2.53155859e+01,-2.34670016e+01,-2.77832142e+01,-6.75290909e+00,5.77069931e+00,-1.30920444e+01,-1.01204358e+02,2.91110869e+00,1.24602901e+00,-5.04130721e-03,8.60580790e-02,9.64779421e-01,-2.06116852e+02,4.69590383e+02,4.68827717e+02,7.62665347e-01,4.74935686e+02,8.09031427e-02,4.68803572e+02,7.86810886e-01,4.74276801e+02,7.39788973e-01
"2015M09",6.88252839e+01,-3.33249970e-02,1.88000000e+00,3.14633935e+00,7.69356400e+00,3.25000000e+00,4.79109000e+04,2.87947000e+04,6.90925000e+04,1.58342800e+05,1.04838400e+05,1.06657272e+02,5.38400000e+02,1.15870000e+02,7.00000000e-02,2.43316000e+02,2.37498000e+02,9.74770000e+01,9.71960000e+01,4.54795238e+01,4.23157118e+02,2.04038414e+02,1.07770983e+03,1.02679466e+03,1.11432015e+03,1.19725176e+03,1.15601754e+03,4.66962063e+02,6.28860178e+02,4.75264910e+02,5.49436101e+02,5.47015920e+02,4.57961645e+02,4.57672956e+02,3.81726220e+02,1.85899285e+00,-3.43022885e-01,1.49311390e+01,1.35599883e+01,1.22549779e+01,1.05915163e+01,8.16053788e+00,4.69363552e+00,1.59987393e+01,3.40592914e+00,1.87932567e+00,8.84257067e-03,6.56780772e-02,1.22459594e+00,-7.17613248e+01,-3.99966616e-01,7.34074739e+00,2.03974208e+01,-1.52101794e+01,-1.04550282e+01,4.00052749e+00,7.77650143e+00,-9.69404816e+00,2.49985582e+01,3.21479689e+00,2.46352422e+00,-2.70014056e+00,-1.66078073e+00,1.72971222e+00,7.09745499e+01,4.69974850e+02,4.69114407e+02,8.60442587e-01,4.75212934e+02,5.19763366e-02,4.69459511e+02,5.15339463e-01,4.74455060e+02,8.09850173e-01
"2015M10",6.91694390e+01,5.00041671e-01,2.23000000e+00,3.13793103e+00,7.68385580e+00,3.00000000e+00,4.79186000e+04,2.92775000e+04,6.99431000e+04,1.59714400e+05,1.06114700e+05,1.08460559e+02,5.83800000e+02,1.16180000e+02,7.00000000e-02,2.43768000e+02,2.37733000e+02,9.74770000e+01,9.72280000e+01,4.62236364e+01,4.23655913e+02,2.03912148e+02,1.07772590e+03,1.02845746e+03,1.11554373e+03,1.19811425e+03,1.15722759e+03,4.68638659e+02,6.36955846e+02,4.75510781e+02,5.49621695e+02,5.47114820e+02,4.57961645e+02,4.57705874e+02,3.83349128e+02,2.20507782e+00,4.41583062e-01,1.68885949e+01,1.24973026e+01,1.24840742e+01,1.14281740e+01,8.34320478e+00,4.30876855e+00,1.53950860e+01,3.33437146e+00,1.89545574e+00,1.27535200e-01,9.54526632e-02,1.17110440e+00,-6.02040064e+01,5.98554738e+00,-1.51518807e+00,1.92842497e-01,1.99535526e+01,1.46830414e+01,1.03499006e+01,1.45205611e+01,2.01191594e+01,9.71480161e+01,3.20620747e+00,2.22713189e+00,1.18679136e+00,0.00000000e+00,3.95012965e-01,1.94748939e+01,4.70101729e+02,4.69398257e+02,7.03472338e-01,4.75488723e+02,2.20577735e-02,4.69806989e+02,2.94739654e-01,4.74858152e+02,6.52629046e-01
